variable,module,kind,assumption_level,formula_status,validation_status,hard_low,hard_high,expected_low,expected_high,range_note,review_priority,parameterizable_in_future,interpretation
ADH_water_retention_index,EndocrineStressAxisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for ADH water retention index; empirical and scenario-dependent.
AKI_index,AKICRRTModule/FluidBalanceModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for AKI index; empirical and scenario-dependent.
CRP_proxy,InfectionAntimicrobialBasicModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,500.0,0.0,300.0,qualitative inflammatory biomarker proxy,standard,False,Proxy variable approximating CRP proxy; not equivalent to the bedside clinical measurement.
CRRT_UF_mL_h_effective,AKICRRTModule/FluidBalanceModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1000.0,0.0,250.0,effective CRRT ultrafiltration rate suggested by CRRT module,standard,False,Qualitative internal state for CRRT UF mL h effective; empirical and scenario-dependent.
CRRT_active_effective,AKICRRTModule/FluidBalanceModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for CRRT active effective; empirical and scenario-dependent.
CRRT_clearance_mod,AKICRRTModule/FluidBalanceModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of CRRT clearance mod; not a directly validated clinical endpoint.
GCS_proxy,NeuroFunctionalModule/ICPModule,proxy,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,3.0,15.0,3.0,15.0,qualitative GCS-like proxy; not a validated GCS score,high,True,Proxy variable approximating GCS proxy; not equivalent to the bedside clinical measurement.
HFOV_power_proxy,VentilatorModule,proxy,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,200.0,0.0,100.0,qualitative HFOV energy proxy; not conventional mechanical power,standard,False,Qualitative internal variable HFOV_power_proxy; added to the hardened public registry in v1.19.
ICP_alert,NeuroFunctionalModule/ICPModule,alert_flag,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Boolean alert flag for ICP alert; used for report/UI logic.
LDH_index,HematologyOxygenTransportModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for LDH index; empirical and scenario-dependent.
M6G_accumulation_proxy,Pharmacology/PainStressSedationModules,proxy,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,-1000.0,1000.0,-100.0,100.0,broad proxy range; interpret qualitatively only,high,True,Qualitative internal variable M6G_accumulation_proxy; added to the hardened public registry in v1.19.
PEEP_hemodynamic_penalty,HeartLung/RespiratoryMechanicsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,,,,,0.5-1.5 or scenario-specific,standard,False,Multiplier used by downstream modules to express the qualitative effect of PEEP hemodynamic penalty; not a directly validated clinical endpoint.
RASS_proxy,NeuroFunctionalModule/ICPModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,-5.0,4.0,-5.0,4.0,qualitative RASS-like proxy; not a validated RASS score,standard,False,Proxy variable approximating RASS proxy; not equivalent to the bedside clinical measurement.
RRT_indication_score,AKICRRTModule/FluidBalanceModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",standard,False,Composite severity/response score for RRT indication score; empirical and intended for internal simulation logic.
RV_afterload_index,HeartLung/RespiratoryMechanicsModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for RV afterload index; empirical and scenario-dependent.
VCO2_mod,NutritionCatabolismModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of VCO2 mod; not a directly validated clinical endpoint.
VILI_risk,HeartLung/RespiratoryMechanicsModule,risk_index,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,"Qualitative risk index for VILI risk; intended for scenario comparison and education, not prediction."
adrenal_insufficiency_index,EndocrineStressAxisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for adrenal insufficiency index; empirical and scenario-dependent.
air_trapping_index,AirwayObstructionModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for air trapping index; empirical and scenario-dependent.
airway_VdVt_add,AirwayObstructionModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of airway VdVt add; unit depends on target variable.
airway_obstruction_index,AirwayObstructionModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for airway obstruction index; empirical and scenario-dependent.
airway_resistance_mod,AirwayObstructionModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of airway resistance mod; not a directly validated clinical endpoint.
airway_shunt_add,AirwayObstructionModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of airway shunt add; unit depends on target variable.
analgesia_score,PainStressSedationModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",standard,False,Composite severity/response score for analgesia score; empirical and intended for internal simulation logic.
anemia_severity_index,HematologyOxygenTransportModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for anemia severity index; empirical and scenario-dependent.
antibiotic_delay_harm_index,InfectionAntimicrobialBasicModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for antibiotic delay harm index; empirical and scenario-dependent.
antibiotic_effect,InfectionAntimicrobialBasicModule,effect_index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal state for antibiotic effect; empirical and scenario-dependent.
antimicrobial_deescalation_readiness,InfectionAntimicrobialBasicModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for antimicrobial deescalation readiness; empirical and scenario-dependent.
antimicrobial_escalation_score,InfectionAntimicrobialBasicModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",standard,False,Composite severity/response score for antimicrobial escalation score; empirical and intended for internal simulation logic.
antipyretic_effect,ThermoregulationModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for antipyretic effect; empirical and scenario-dependent.
atelectrauma_index,HeartLung/RespiratoryMechanicsModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for atelectrauma index; empirical and scenario-dependent.
bleeding_risk_index,HematologyOxygenTransportModule,risk_index,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,"Qualitative risk index for bleeding risk index; intended for scenario comparison and education, not prediction."
bronchodilator_effect,AirwayObstructionModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for bronchodilator effect; empirical and scenario-dependent.
bronchospasm_index,AirwayObstructionModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for bronchospasm index; empirical and scenario-dependent.
capillary_leak_index,HeartLung/RespiratoryMechanicsModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for capillary leak index; empirical and scenario-dependent.
catabolism_index,NutritionCatabolismModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for catabolism index; empirical and scenario-dependent.
catecholamine_tone,EndocrineStressAxisModule,drive_or_tone,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.0,2.0,qualitative drive/tone variable,standard,False,Qualitative internal state for catecholamine tone; empirical and scenario-dependent.
cerebral_metabolic_rate_mod,NeuroFunctionalModule/ICPModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of cerebral metabolic rate mod; not a directly validated clinical endpoint.
cholestasis_index,HepaticMetabolismModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for cholestasis index; empirical and scenario-dependent.
clonidine_bradycardia_risk,Pharmacology/PainStressSedationModules,risk_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable clonidine_bradycardia_risk; added to the hardened public registry in v1.19.
clonidine_hypotension_risk,Pharmacology/PainStressSedationModules,risk_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable clonidine_hypotension_risk; added to the hardened public registry in v1.19.
clonidine_withdrawal_mod,Neurofunctional/PainStressSedationModules,modifier,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,high,True,Qualitative internal variable clonidine_withdrawal_mod; added to the hardened public registry in v1.19.
coag_score,CoagulationModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,10.0,0.0,5.0,ordinal coagulation severity proxy,standard,False,Composite severity/response score for coag score; empirical and intended for internal simulation logic.
consciousness_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for consciousness index; empirical and scenario-dependent.
cooling_effect,ThermoregulationModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for cooling effect; empirical and scenario-dependent.
critical_illness_steroid_need_index,EndocrineStressAxisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for critical illness steroid need index; empirical and scenario-dependent.
cycling_frac,VentilatorModule,setting_fraction,low,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Ventilator cycling fraction setting used for PSV-like cycling logic; not a clinical score.
cytokine_drive,AdvancedSepsisModule,drive_or_tone,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.0,2.0,qualitative drive/tone variable,standard,False,Qualitative internal state for cytokine drive; empirical and scenario-dependent.
delirium_risk,PainStressSedationModule,risk_index,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,"Qualitative risk index for delirium risk; intended for scenario comparison and education, not prediction."
delirium_state_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for delirium state index; empirical and scenario-dependent.
diuretic_effect,AKICRRTModule/FluidBalanceModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for diuretic effect; empirical and scenario-dependent.
diuretic_response_index,AKICRRTModule/FluidBalanceModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for diuretic response index; empirical and scenario-dependent.
drive_level,RespiratoryMechanics/ChemoreflexModule,drive_or_tone,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.0,2.0,qualitative drive/tone variable,standard,False,Qualitative internal state for drive level; empirical and scenario-dependent.
drug_HR_mod,PKPDModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of drug HR mod; not a directly validated clinical endpoint.
drug_MAP_mod,PKPDModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of drug MAP mod; not a directly validated clinical endpoint.
drug_NMB_frac,PKPDModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for drug NMB frac; empirical and scenario-dependent.
drug_SVR_mod,PKPDModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of drug SVR mod; not a directly validated clinical endpoint.
drug_drive_mod,PKPDModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of drug drive mod; not a directly validated clinical endpoint.
drug_inotropy_mod,PharmacologyModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Qualitative internal variable drug_inotropy_mod; added to the hardened public registry in v1.19.
encephalopathy_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for encephalopathy index; empirical and scenario-dependent.
endocrine_GFR_mod,EndocrineStressAxisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of endocrine GFR mod; not a directly validated clinical endpoint.
endocrine_HR_add,EndocrineStressAxisModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of endocrine HR add; unit depends on target variable.
endocrine_SVR_mod,EndocrineStressAxisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of endocrine SVR mod; not a directly validated clinical endpoint.
endocrine_VO2_mod,EndocrineStressAxisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of endocrine VO2 mod; not a directly validated clinical endpoint.
endocrine_glucose_prod_mod,EndocrineStressAxisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of endocrine glucose prod mod; not a directly validated clinical endpoint.
endocrine_lactate_mod,EndocrineStressAxisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of endocrine lactate mod; not a directly validated clinical endpoint.
endocrine_severity_score,EndocrineStressAxisModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Composite severity/response score for endocrine severity score; empirical and intended for internal simulation logic.
endothelial_leak_index,AdvancedSepsisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for endothelial leak index; empirical and scenario-dependent.
feeding_intolerance_index,NutritionCatabolismModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for feeding intolerance index; empirical and scenario-dependent.
fever_drive,ThermoregulationModule,drive_or_tone,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.0,2.0,qualitative drive/tone variable,standard,False,Qualitative internal state for fever drive; empirical and scenario-dependent.
furosemide_effect_signal,Pharmacology/RenalModules,effect_index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable furosemide_effect_signal; added to the hardened public registry in v1.19.
heart_lung_CO_mod,HeartLung/RespiratoryMechanicsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of heart lung CO mod; not a directly validated clinical endpoint.
