scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
anaphylaxis,airway_resistance_factor,respiration,0.8,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,lactate_peak,1.721,1.721,0.0
anaphylaxis,airway_resistance_factor,respiration,0.8,rescue_margin,0.942,0.942,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,spo2_nadir,95.555,96.1,-0.545
anaphylaxis,airway_resistance_factor,respiration,1.0333,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,lactate_peak,1.721,1.721,0.0
anaphylaxis,airway_resistance_factor,respiration,1.0333,rescue_margin,0.942,0.942,0.0
anaphylaxis,airway_resistance_factor,respiration,1.2667,spo2_nadir,91.731,96.1,-4.369
anaphylaxis,airway_resistance_factor,respiration,1.2667,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.2667,lactate_peak,1.741,1.721,0.02
anaphylaxis,airway_resistance_factor,respiration,1.2667,rescue_margin,0.936,0.942,-0.006
anaphylaxis,airway_resistance_factor,respiration,1.5,spo2_nadir,87.91,96.1,-8.19
anaphylaxis,airway_resistance_factor,respiration,1.5,map_nadir,51.8,51.8,0.0
anaphylaxis,airway_resistance_factor,respiration,1.5,lactate_peak,2.034,1.721,0.313
anaphylaxis,airway_resistance_factor,respiration,1.5,rescue_margin,0.84,0.942,-0.102
anaphylaxis,airway_resistance_factor,respiration,1.7333,spo2_nadir,84.089,96.1,-12.011
anaphylaxis,airway_resistance_factor,respiration,1.7333,map_nadir,50.167,51.8,-1.633
anaphylaxis,airway_resistance_factor,respiration,1.7333,lactate_peak,2.44,1.721,0.719
anaphylaxis,airway_resistance_factor,respiration,1.7333,rescue_margin,0.715,0.942,-0.227
anaphylaxis,airway_resistance_factor,respiration,1.9667,spo2_nadir,80.265,96.1,-15.835
anaphylaxis,airway_resistance_factor,respiration,1.9667,map_nadir,48.533,51.8,-3.267
anaphylaxis,airway_resistance_factor,respiration,1.9667,lactate_peak,2.846,1.721,1.125
anaphylaxis,airway_resistance_factor,respiration,1.9667,rescue_margin,0.59,0.942,-0.352
anaphylaxis,airway_resistance_factor,respiration,2.2,spo2_nadir,76.444,96.1,-19.656
anaphylaxis,airway_resistance_factor,respiration,2.2,map_nadir,46.9,51.8,-4.9
anaphylaxis,airway_resistance_factor,respiration,2.2,lactate_peak,3.252,1.721,1.531
anaphylaxis,airway_resistance_factor,respiration,2.2,rescue_margin,0.46,0.942,-0.482
anaphylaxis,lactate_clearance_factor,metabolism,0.45,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.45,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.45,lactate_peak,1.991,1.721,0.27
anaphylaxis,lactate_clearance_factor,metabolism,0.45,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.5917,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.5917,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.5917,lactate_peak,1.873,1.721,0.152
anaphylaxis,lactate_clearance_factor,metabolism,0.5917,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.7333,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.7333,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.7333,lactate_peak,1.801,1.721,0.08
anaphylaxis,lactate_clearance_factor,metabolism,0.7333,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.875,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.875,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,0.875,lactate_peak,1.752,1.721,0.031
anaphylaxis,lactate_clearance_factor,metabolism,0.875,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.0167,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.0167,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.0167,lactate_peak,1.717,1.721,-0.004
anaphylaxis,lactate_clearance_factor,metabolism,1.0167,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.1583,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.1583,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.1583,lactate_peak,1.691,1.721,-0.03
anaphylaxis,lactate_clearance_factor,metabolism,1.1583,rescue_margin,0.942,0.942,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.3,spo2_nadir,96.1,96.1,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.3,map_nadir,51.8,51.8,0.0
anaphylaxis,lactate_clearance_factor,metabolism,1.3,lactate_peak,1.67,1.721,-0.051
anaphylaxis,lactate_clearance_factor,metabolism,1.3,rescue_margin,0.942,0.942,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.65,spo2_nadir,95.755,96.7,-0.945
bronchiolitis_failure,preload_factor,hemodynamics,0.65,map_nadir,56.111,66.6,-10.489
bronchiolitis_failure,preload_factor,hemodynamics,0.65,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.65,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.75,spo2_nadir,96.025,96.7,-0.675
bronchiolitis_failure,preload_factor,hemodynamics,0.75,map_nadir,59.108,66.6,-7.492
bronchiolitis_failure,preload_factor,hemodynamics,0.75,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.75,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.85,spo2_nadir,96.295,96.7,-0.405
bronchiolitis_failure,preload_factor,hemodynamics,0.85,map_nadir,62.105,66.6,-4.495
bronchiolitis_failure,preload_factor,hemodynamics,0.85,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.85,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.95,spo2_nadir,96.565,96.7,-0.135
bronchiolitis_failure,preload_factor,hemodynamics,0.95,map_nadir,65.102,66.6,-1.498
bronchiolitis_failure,preload_factor,hemodynamics,0.95,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,0.95,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.05,spo2_nadir,96.835,96.7,0.135
bronchiolitis_failure,preload_factor,hemodynamics,1.05,map_nadir,68.099,66.6,1.499
bronchiolitis_failure,preload_factor,hemodynamics,1.05,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.05,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.15,spo2_nadir,97.0,96.7,0.3
bronchiolitis_failure,preload_factor,hemodynamics,1.15,map_nadir,71.096,66.6,4.496
bronchiolitis_failure,preload_factor,hemodynamics,1.15,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.15,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.25,spo2_nadir,97.0,96.7,0.3
bronchiolitis_failure,preload_factor,hemodynamics,1.25,map_nadir,74.093,66.6,7.493
bronchiolitis_failure,preload_factor,hemodynamics,1.25,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,preload_factor,hemodynamics,1.25,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.55,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.55,map_nadir,59.108,66.6,-7.492
bronchiolitis_failure,svr_factor,hemodynamics,0.55,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.55,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.7,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.7,map_nadir,61.605,66.6,-4.995
bronchiolitis_failure,svr_factor,hemodynamics,0.7,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.7,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.85,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.85,map_nadir,64.103,66.6,-2.497
bronchiolitis_failure,svr_factor,hemodynamics,0.85,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,0.85,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.0,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.0,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.0,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.0,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.15,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.15,map_nadir,69.098,66.6,2.498
bronchiolitis_failure,svr_factor,hemodynamics,1.15,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.15,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.3,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.3,map_nadir,71.595,66.6,4.995
bronchiolitis_failure,svr_factor,hemodynamics,1.3,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.3,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.45,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.45,map_nadir,74.093,66.6,7.493
bronchiolitis_failure,svr_factor,hemodynamics,1.45,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,svr_factor,hemodynamics,1.45,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.55,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.55,map_nadir,57.609,66.6,-8.991
bronchiolitis_failure,contractility_factor,hemodynamics,0.55,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.55,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.6833,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.6833,map_nadir,60.272,66.6,-6.328
bronchiolitis_failure,contractility_factor,hemodynamics,0.6833,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.6833,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.8167,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.8167,map_nadir,62.938,66.6,-3.662
bronchiolitis_failure,contractility_factor,hemodynamics,0.8167,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.8167,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.95,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.95,map_nadir,65.601,66.6,-0.999
bronchiolitis_failure,contractility_factor,hemodynamics,0.95,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,0.95,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.0833,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.0833,map_nadir,68.264,66.6,1.664
bronchiolitis_failure,contractility_factor,hemodynamics,1.0833,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.0833,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.2167,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.2167,map_nadir,70.93,66.6,4.33
bronchiolitis_failure,contractility_factor,hemodynamics,1.2167,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.2167,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.35,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.35,map_nadir,73.593,66.6,6.993
bronchiolitis_failure,contractility_factor,hemodynamics,1.35,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,contractility_factor,hemodynamics,1.35,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.45,spo2_nadir,89.55,96.7,-7.15
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.45,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.45,lactate_peak,1.672,1.5,0.172
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.45,rescue_margin,0.939,1.0,-0.061
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.5917,spo2_nadir,91.392,96.7,-5.308
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.5917,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.5917,lactate_peak,1.543,1.5,0.043
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.5917,rescue_margin,0.985,1.0,-0.015
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.7333,spo2_nadir,93.233,96.7,-3.467
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.7333,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.7333,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.7333,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.875,spo2_nadir,95.075,96.7,-1.625
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.875,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.875,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,0.875,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.0167,spo2_nadir,96.917,96.7,0.217
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.0167,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.0167,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.0167,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.1583,spo2_nadir,98.758,96.7,2.058
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.1583,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.1583,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.1583,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.3,spo2_nadir,100.0,96.7,3.3
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.3,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.3,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,1.3,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,0.8,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,0.8,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,0.8,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,0.8,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.0333,spo2_nadir,96.21,96.7,-0.49
bronchiolitis_failure,airway_resistance_factor,respiration,1.0333,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.0333,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.0333,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.2667,spo2_nadir,92.78,96.7,-3.92
bronchiolitis_failure,airway_resistance_factor,respiration,1.2667,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.2667,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.2667,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.5,spo2_nadir,89.35,96.7,-7.35
bronchiolitis_failure,airway_resistance_factor,respiration,1.5,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,airway_resistance_factor,respiration,1.5,lactate_peak,1.685,1.5,0.185
bronchiolitis_failure,airway_resistance_factor,respiration,1.5,rescue_margin,0.934,1.0,-0.066
bronchiolitis_failure,airway_resistance_factor,respiration,1.7333,spo2_nadir,85.92,96.7,-10.78
bronchiolitis_failure,airway_resistance_factor,respiration,1.7333,map_nadir,64.967,66.6,-1.633
bronchiolitis_failure,airway_resistance_factor,respiration,1.7333,lactate_peak,1.926,1.5,0.426
bronchiolitis_failure,airway_resistance_factor,respiration,1.7333,rescue_margin,0.848,1.0,-0.152
bronchiolitis_failure,airway_resistance_factor,respiration,1.9667,spo2_nadir,82.49,96.7,-14.21
bronchiolitis_failure,airway_resistance_factor,respiration,1.9667,map_nadir,63.333,66.6,-3.267
bronchiolitis_failure,airway_resistance_factor,respiration,1.9667,lactate_peak,2.166,1.5,0.666
bronchiolitis_failure,airway_resistance_factor,respiration,1.9667,rescue_margin,0.762,1.0,-0.238
bronchiolitis_failure,airway_resistance_factor,respiration,2.2,spo2_nadir,79.06,96.7,-17.64
bronchiolitis_failure,airway_resistance_factor,respiration,2.2,map_nadir,61.7,66.6,-4.9
bronchiolitis_failure,airway_resistance_factor,respiration,2.2,lactate_peak,2.406,1.5,0.906
bronchiolitis_failure,airway_resistance_factor,respiration,2.2,rescue_margin,0.677,1.0,-0.323
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.45,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.45,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.45,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.45,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.5917,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.5917,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.5917,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.5917,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.7333,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.7333,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.7333,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.7333,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.875,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.875,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.875,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,0.875,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.0167,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.0167,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.0167,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.0167,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.1583,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.1583,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.1583,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.1583,rescue_margin,1.0,1.0,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.3,spo2_nadir,96.7,96.7,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.3,map_nadir,66.6,66.6,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.3,lactate_peak,1.5,1.5,0.0
bronchiolitis_failure,lactate_clearance_factor,metabolism,1.3,rescue_margin,1.0,1.0,0.0
tamponade,preload_factor,hemodynamics,0.65,spo2_nadir,95.287,95.98,-0.693
tamponade,preload_factor,hemodynamics,0.65,map_nadir,41.148,48.84,-7.692
tamponade,preload_factor,hemodynamics,0.65,lactate_peak,2.497,1.944,0.553
tamponade,preload_factor,hemodynamics,0.65,rescue_margin,0.751,0.889,-0.138
tamponade,preload_factor,hemodynamics,0.75,spo2_nadir,95.485,95.98,-0.495
tamponade,preload_factor,hemodynamics,0.75,map_nadir,43.346,48.84,-5.494
tamponade,preload_factor,hemodynamics,0.75,lactate_peak,2.339,1.944,0.395
tamponade,preload_factor,hemodynamics,0.75,rescue_margin,0.79,0.889,-0.099
tamponade,preload_factor,hemodynamics,0.85,spo2_nadir,95.683,95.98,-0.297
tamponade,preload_factor,hemodynamics,0.85,map_nadir,45.543,48.84,-3.297
tamponade,preload_factor,hemodynamics,0.85,lactate_peak,2.181,1.944,0.237
tamponade,preload_factor,hemodynamics,0.85,rescue_margin,0.83,0.889,-0.059
tamponade,preload_factor,hemodynamics,0.95,spo2_nadir,95.881,95.98,-0.099
tamponade,preload_factor,hemodynamics,0.95,map_nadir,47.741,48.84,-1.099
tamponade,preload_factor,hemodynamics,0.95,lactate_peak,2.023,1.944,0.079
tamponade,preload_factor,hemodynamics,0.95,rescue_margin,0.869,0.889,-0.02
tamponade,preload_factor,hemodynamics,1.05,spo2_nadir,96.079,95.98,0.099
tamponade,preload_factor,hemodynamics,1.05,map_nadir,49.939,48.84,1.099
tamponade,preload_factor,hemodynamics,1.05,lactate_peak,1.864,1.944,-0.08
tamponade,preload_factor,hemodynamics,1.05,rescue_margin,0.909,0.889,0.02
tamponade,preload_factor,hemodynamics,1.15,spo2_nadir,96.277,95.98,0.297
tamponade,preload_factor,hemodynamics,1.15,map_nadir,52.137,48.84,3.297
tamponade,preload_factor,hemodynamics,1.15,lactate_peak,1.706,1.944,-0.238
tamponade,preload_factor,hemodynamics,1.15,rescue_margin,0.948,0.889,0.059
tamponade,preload_factor,hemodynamics,1.25,spo2_nadir,96.475,95.98,0.495
tamponade,preload_factor,hemodynamics,1.25,map_nadir,54.335,48.84,5.495
tamponade,preload_factor,hemodynamics,1.25,lactate_peak,1.548,1.944,-0.396
tamponade,preload_factor,hemodynamics,1.25,rescue_margin,0.988,0.889,0.099
tamponade,svr_factor,hemodynamics,0.55,spo2_nadir,95.98,95.98,0.0
tamponade,svr_factor,hemodynamics,0.55,map_nadir,43.346,48.84,-5.494
tamponade,svr_factor,hemodynamics,0.55,lactate_peak,2.339,1.944,0.395
tamponade,svr_factor,hemodynamics,0.55,rescue_margin,0.79,0.889,-0.099
tamponade,svr_factor,hemodynamics,0.7,spo2_nadir,95.98,95.98,0.0
tamponade,svr_factor,hemodynamics,0.7,map_nadir,45.177,48.84,-3.663
tamponade,svr_factor,hemodynamics,0.7,lactate_peak,2.207,1.944,0.263
tamponade,svr_factor,hemodynamics,0.7,rescue_margin,0.823,0.889,-0.066
tamponade,svr_factor,hemodynamics,0.85,spo2_nadir,95.98,95.98,0.0
tamponade,svr_factor,hemodynamics,0.85,map_nadir,47.009,48.84,-1.831
tamponade,svr_factor,hemodynamics,0.85,lactate_peak,2.075,1.944,0.131
tamponade,svr_factor,hemodynamics,0.85,rescue_margin,0.856,0.889,-0.033
tamponade,svr_factor,hemodynamics,1.0,spo2_nadir,95.98,95.98,0.0
tamponade,svr_factor,hemodynamics,1.0,map_nadir,48.84,48.84,0.0
tamponade,svr_factor,hemodynamics,1.0,lactate_peak,1.944,1.944,0.0
tamponade,svr_factor,hemodynamics,1.0,rescue_margin,0.889,0.889,0.0
tamponade,svr_factor,hemodynamics,1.15,spo2_nadir,95.98,95.98,0.0
